"Date","Price","Open","High","Low","Vol.","Change %"
"05/21/2024","78.92","79.69","79.70","78.06","","-0.97%"
"05/20/2024","79.69","79.81","80.53","79.12","","-0.11%"
"05/19/2024","79.78","79.97","80.14","79.77","","-0.25%"
"05/17/2024","79.98","79.37","80.12","79.06","","0.74%"
"05/16/2024","79.39","78.97","79.78","78.22","","0.56%"
"05/15/2024","78.95","78.47","78.97","76.84","","0.60%"
"05/14/2024","78.48","79.27","79.50","77.84","","-0.97%"
"05/13/2024","79.25","78.23","79.63","77.92","","1.32%"
"05/12/2024","78.22","78.25","78.30","78.12","","-0.20%"
"05/10/2024","78.38","79.86","80.17","78.34","","-1.83%"
"05/09/2024","79.84","79.47","80.00","79.14","","0.47%"
"05/08/2024","79.47","78.53","79.48","77.12","","1.20%"
"05/07/2024","78.53","79.14","79.30","77.81","","-0.73%"
"05/06/2024","79.11","78.62","79.34","78.20","","0.60%"
"05/05/2024","78.64","78.44","78.84","78.33","","0.45%"
"05/03/2024","78.29","79.56","79.92","78.26","","-1.56%"
"05/02/2024","79.53","79.45","80.22","78.73","","0.11%"
"05/01/2024","79.44","81.72","81.92","79.17","","-2.75%"
"04/30/2024","81.69","82.97","83.67","81.32","","-1.55%"
"04/29/2024","82.98","83.61","84.31","82.77","","-0.75%"
"04/28/2024","83.61","84.00","84.02","83.60","","-0.63%"
"04/26/2024","84.14","84.22","84.91","83.80","","-0.07%"
"04/25/2024","84.20","83.11","84.29","82.46","","1.25%"
"04/24/2024","83.16","83.91","84.16","82.91","","-0.91%"
"04/23/2024","83.92","82.61","84.02","81.37","","1.62%"
"04/22/2024","82.58","82.42","82.78","81.22","","0.17%"
"04/21/2024","82.44","82.34","82.61","82.34","","-0.30%"